Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-379.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-377.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-374.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-372.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-369.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-367.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-364.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-362.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-359.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-357.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-354.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-352.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-349.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-347.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-344.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-342.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-339.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-337.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-334.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-332.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-329.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-327.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-324.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-322.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-319.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-317.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-314.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-312.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-309.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-307.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-304.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-302.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-299.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-297.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-294.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-292.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-289.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-287.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-284.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-282.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-279.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-277.1720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-274.6720391475913
Beer [getGamePoint()=0, getAlcoholPoint()=0, getPosX()=552.7064280475497, getPosY()=-272.1720391475913
