Beer [beerMoving=RegularBeerMovingStrategy [posY=-48.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=613.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-46.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=610.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-44.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=606.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-42.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=603.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-40.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=599.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-38.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=596.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-36.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=592.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-34.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=589.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-32.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=585.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-30.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=582.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-28.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=578.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-26.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=575.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-24.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=571.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-22.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=568.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-20.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=564.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-18.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=561.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-16.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=557.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-14.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=554.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-12.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=550.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-10.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=547.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-8.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=543.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-6.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=540.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-4.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=536.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=-2.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=533.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=0.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=529.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=2.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=526.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=4.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=522.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=6.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=519.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=8.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=515.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=10.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=512.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=12.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=508.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=14.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=505.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=16.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=501.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=18.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=498.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=20.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=494.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=22.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=491.0]
Beer [beerMoving=RegularBeerMovingStrategy [posY=24.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=487.5]
Beer [beerMoving=RegularBeerMovingStrategy [posY=26.0], beerScoring=BigBeerScoringStrategy [GAMEPOINT=4, ALCOHOLPOINT=2], beerSizing=BigBeerSizingStrategy [WIDTH=5, HEIGHT=15]]Player [playerName=null, gameScore=0, alcoholLevel=0, xMove=-3.5, getGameScore()=0, getAlcoholLevel()=0, getPosX()=484.0]
